Alkane,No. of C atom,Reaction Enthalpy (kcal/mol),Gibbs Free Energy Change (kcal/mol),Entropy (kcal/mol·K)
freq_C1.out,1,-159.6833532,-144.10244,-0.052258639
freq_C10.out,10,-1306.556267,-1271.584719,-0.117295147
freq_C2.out,2,-287.6104552,-269.5873489,-0.060449795
freq_C3.out,3,-414.1200133,-393.9182679,-0.067756986
freq_C4.out,4,-541.4378037,-519.0906771,-0.07495263
freq_C5.out,5,-668.0201529,-643.4736793,-0.082329276
freq_C7.out,7,-924.4930814,-895.7600122,-0.096371186
freq_C8.out,8,-1051.878643,-1021.099339,-0.103234291
freq_C9.out,9,-1179.187648,-1146.404153,-0.109956381
